ref: simulated example

wavelength (nm)	n	k
6.590000e+02	1.459261e+00	4.056990e-02
6.600000e+02	1.459306e+00	4.060554e-02
6.610000e+02	1.459353e+00	4.064035e-02
6.620000e+02	1.459400e+00	4.067516e-02
6.630000e+02	1.459447e+00	4.070998e-02
6.640000e+02	1.459495e+00	4.074414e-02
6.650000e+02	1.459544e+00	4.077792e-02
6.660000e+02	1.459592e+00	4.081170e-02
6.670000e+02	1.459641e+00	4.084541e-02
6.680000e+02	1.459691e+00	4.087811e-02
6.690000e+02	1.459741e+00	4.091081e-02
6.700000e+02	1.459791e+00	4.094352e-02
6.710000e+02	1.459842e+00	4.097571e-02
6.720000e+02	1.459893e+00	4.100729e-02
6.730000e+02	1.459945e+00	4.103888e-02
6.740000e+02	1.459997e+00	4.107047e-02
6.750000e+02	1.460049e+00	4.110111e-02
6.760000e+02	1.460102e+00	4.113154e-02
6.770000e+02	1.460155e+00	4.116197e-02
6.780000e+02	1.460208e+00	4.119224e-02
6.790000e+02	1.460262e+00	4.122147e-02
6.800000e+02	1.460317e+00	4.125071e-02
6.810000e+02	1.460371e+00	4.127994e-02
6.820000e+02	1.460426e+00	4.130867e-02
6.830000e+02	1.460481e+00	4.133668e-02
6.840000e+02	1.460537e+00	4.136468e-02
6.850000e+02	1.460592e+00	4.139268e-02
6.860000e+02	1.460649e+00	4.141988e-02
6.870000e+02	1.460705e+00	4.144661e-02
6.880000e+02	1.460762e+00	4.147335e-02
6.890000e+02	1.460819e+00	4.150009e-02
6.900000e+02	1.460877e+00	4.152575e-02
6.910000e+02	1.460935e+00	4.155119e-02
6.920000e+02	1.460993e+00	4.157663e-02
6.930000e+02	1.461050e+00	4.160207e-02
6.940000e+02	1.461109e+00	4.162621e-02
6.950000e+02	1.461168e+00	4.165032e-02
6.960000e+02	1.461227e+00	4.167443e-02
6.970000e+02	1.461287e+00	4.169843e-02
6.980000e+02	1.461347e+00	4.172119e-02
6.990000e+02	1.461407e+00	4.174395e-02
7.000000e+02	1.461467e+00	4.176671e-02
7.010000e+02	1.461527e+00	4.178925e-02
7.020000e+02	1.461588e+00	4.181063e-02
7.030000e+02	1.461649e+00	4.183201e-02
7.040000e+02	1.461710e+00	4.185339e-02
7.050000e+02	1.461771e+00	4.187453e-02
7.060000e+02	1.461833e+00	4.189451e-02
7.070000e+02	1.461895e+00	4.191448e-02
7.080000e+02	1.461957e+00	4.193446e-02
7.090000e+02	1.462019e+00	4.195423e-02
7.100000e+02	1.462081e+00	4.197278e-02
7.110000e+02	1.462144e+00	4.199133e-02
7.120000e+02	1.462207e+00	4.200988e-02
7.130000e+02	1.462270e+00	4.202834e-02
7.140000e+02	1.462333e+00	4.204544e-02
7.150000e+02	1.462397e+00	4.206255e-02
7.160000e+02	1.462460e+00	4.207966e-02
7.170000e+02	1.462524e+00	4.209677e-02
7.180000e+02	1.462588e+00	4.211249e-02
7.190000e+02	1.462652e+00	4.212814e-02
7.200000e+02	1.462716e+00	4.214379e-02
7.210000e+02	1.462780e+00	4.215944e-02
7.220000e+02	1.462845e+00	4.217394e-02
7.230000e+02	1.462910e+00	4.218811e-02
7.240000e+02	1.462975e+00	4.220229e-02
7.250000e+02	1.463039e+00	4.221646e-02
7.260000e+02	1.463105e+00	4.222980e-02
7.270000e+02	1.463170e+00	4.224249e-02
7.280000e+02	1.463235e+00	4.225518e-02
7.290000e+02	1.463301e+00	4.226787e-02
7.300000e+02	1.463366e+00	4.228012e-02
7.310000e+02	1.463432e+00	4.229131e-02
7.320000e+02	1.463498e+00	4.230251e-02
7.330000e+02	1.463564e+00	4.231371e-02
7.340000e+02	1.463630e+00	4.232490e-02
7.350000e+02	1.463696e+00	4.233463e-02
7.360000e+02	1.463762e+00	4.234433e-02
7.370000e+02	1.463829e+00	4.235402e-02
7.380000e+02	1.463895e+00	4.236371e-02
7.390000e+02	1.463962e+00	4.237249e-02
7.400000e+02	1.464028e+00	4.238068e-02
7.410000e+02	1.464095e+00	4.238887e-02
7.420000e+02	1.464162e+00	4.239706e-02
7.430000e+02	1.464228e+00	4.240497e-02
7.440000e+02	1.464295e+00	4.241166e-02
7.450000e+02	1.464362e+00	4.241834e-02
7.460000e+02	1.464429e+00	4.242502e-02
7.470000e+02	1.464496e+00	4.243170e-02
7.480000e+02	1.464563e+00	4.243732e-02
7.490000e+02	1.464631e+00	4.244249e-02
7.500000e+02	1.464698e+00	4.244767e-02
7.510000e+02	1.464765e+00	4.245285e-02
7.520000e+02	1.464832e+00	4.245775e-02
7.530000e+02	1.464900e+00	4.246143e-02
7.540000e+02	1.464967e+00	4.246510e-02
7.550000e+02	1.465034e+00	4.246877e-02
7.560000e+02	1.465102e+00	4.247245e-02
7.570000e+02	1.465169e+00	4.247523e-02
7.580000e+02	1.465237e+00	4.247741e-02
7.590000e+02	1.465304e+00	4.247958e-02
7.600000e+02	1.465372e+00	4.248176e-02
7.610000e+02	1.465439e+00	4.248394e-02
7.620000e+02	1.465507e+00	4.248469e-02
7.630000e+02	1.465574e+00	4.248538e-02
7.640000e+02	1.465642e+00	4.248607e-02
7.650000e+02	1.465709e+00	4.248676e-02
7.660000e+02	1.465777e+00	4.248706e-02
7.670000e+02	1.465844e+00	4.248627e-02
7.680000e+02	1.465912e+00	4.248548e-02
7.690000e+02	1.465979e+00	4.248469e-02
7.700000e+02	1.466047e+00	4.248390e-02
7.710000e+02	1.466114e+00	4.248237e-02
7.720000e+02	1.466182e+00	4.248012e-02
7.730000e+02	1.466249e+00	4.247786e-02
7.740000e+02	1.466317e+00	4.247561e-02
7.750000e+02	1.466384e+00	4.247335e-02
7.760000e+02	1.466451e+00	4.247010e-02
7.770000e+02	1.466519e+00	4.246639e-02
7.780000e+02	1.466586e+00	4.246269e-02
7.790000e+02	1.466653e+00	4.245898e-02
7.800000e+02	1.466720e+00	4.245528e-02
7.810000e+02	1.466788e+00	4.245041e-02
7.820000e+02	1.466855e+00	4.244527e-02
7.830000e+02	1.466922e+00	4.244013e-02
7.840000e+02	1.466989e+00	4.243499e-02
7.850000e+02	1.467056e+00	4.242985e-02
7.860000e+02	1.467123e+00	4.242348e-02
7.870000e+02	1.467190e+00	4.241692e-02
7.880000e+02	1.467256e+00	4.241037e-02
7.890000e+02	1.467323e+00	4.240382e-02
7.900000e+02	1.467390e+00	4.239727e-02
7.910000e+02	1.467456e+00	4.238950e-02
7.920000e+02	1.467523e+00	4.238155e-02
7.930000e+02	1.467589e+00	4.237361e-02
7.940000e+02	1.467656e+00	4.236567e-02
7.950000e+02	1.467722e+00	4.235772e-02
7.960000e+02	1.467789e+00	4.234867e-02
7.970000e+02	1.467855e+00	4.233936e-02
