ref: simulated example

wavelength (nm)	n	k
6.850000e+02	4.611964e-01	2.192751e+00
6.860000e+02	4.583757e-01	2.205101e+00
6.870000e+02	4.556207e-01	2.217396e+00
6.880000e+02	4.528657e-01	2.229691e+00
6.890000e+02	4.501107e-01	2.241986e+00
6.900000e+02	4.474974e-01	2.254155e+00
6.910000e+02	4.449124e-01	2.266299e+00
6.920000e+02	4.423275e-01	2.278443e+00
6.930000e+02	4.397425e-01	2.290587e+00
6.940000e+02	4.373130e-01	2.302585e+00
6.950000e+02	4.348862e-01	2.314581e+00
6.960000e+02	4.324593e-01	2.326577e+00
6.970000e+02	4.300458e-01	2.338559e+00
6.980000e+02	4.277662e-01	2.350410e+00
6.990000e+02	4.254867e-01	2.362261e+00
7.000000e+02	4.232071e-01	2.374112e+00
7.010000e+02	4.209485e-01	2.385942e+00
7.020000e+02	4.188063e-01	2.397652e+00
7.030000e+02	4.166640e-01	2.409361e+00
7.040000e+02	4.145218e-01	2.421071e+00
7.050000e+02	4.124014e-01	2.432757e+00
7.060000e+02	4.103873e-01	2.444329e+00
7.070000e+02	4.083732e-01	2.455901e+00
7.080000e+02	4.063592e-01	2.467473e+00
7.090000e+02	4.043622e-01	2.479026e+00
7.100000e+02	4.024679e-01	2.490464e+00
7.110000e+02	4.005736e-01	2.501902e+00
7.120000e+02	3.986793e-01	2.513340e+00
7.130000e+02	3.967928e-01	2.524768e+00
7.140000e+02	3.950105e-01	2.536076e+00
7.150000e+02	3.932283e-01	2.547383e+00
7.160000e+02	3.914461e-01	2.558690e+00
7.170000e+02	3.896639e-01	2.569998e+00
7.180000e+02	3.879812e-01	2.581185e+00
7.190000e+02	3.863040e-01	2.592365e+00
7.200000e+02	3.846267e-01	2.603546e+00
7.210000e+02	3.829495e-01	2.614726e+00
7.220000e+02	3.813490e-01	2.625811e+00
7.230000e+02	3.797702e-01	2.636868e+00
7.240000e+02	3.781914e-01	2.647925e+00
7.250000e+02	3.766127e-01	2.658982e+00
7.260000e+02	3.750858e-01	2.669972e+00
7.270000e+02	3.735995e-01	2.680909e+00
7.280000e+02	3.721132e-01	2.691847e+00
7.290000e+02	3.706269e-01	2.702784e+00
7.300000e+02	3.691662e-01	2.713688e+00
7.310000e+02	3.677668e-01	2.724509e+00
7.320000e+02	3.663674e-01	2.735330e+00
7.330000e+02	3.649680e-01	2.746151e+00
7.340000e+02	3.635687e-01	2.756972e+00
7.350000e+02	3.622491e-01	2.767683e+00
7.360000e+02	3.609316e-01	2.778391e+00
7.370000e+02	3.596140e-01	2.789100e+00
7.380000e+02	3.582964e-01	2.799808e+00
7.390000e+02	3.570257e-01	2.810450e+00
7.400000e+02	3.557852e-01	2.821048e+00
