ref: simulated example

wavelength (nm)	n	k
6.670000e+02	2.112746e+00	6.346546e-03
6.680000e+02	2.112555e+00	6.356636e-03
6.690000e+02	2.112365e+00	6.366726e-03
6.700000e+02	2.112175e+00	6.376816e-03
6.710000e+02	2.111985e+00	6.386909e-03
6.720000e+02	2.111794e+00	6.397006e-03
6.730000e+02	2.111604e+00	6.407102e-03
6.740000e+02	2.111413e+00	6.417199e-03
6.750000e+02	2.111223e+00	6.427301e-03
6.760000e+02	2.111033e+00	6.437405e-03
6.770000e+02	2.110842e+00	6.447508e-03
6.780000e+02	2.110652e+00	6.457613e-03
6.790000e+02	2.110461e+00	6.467723e-03
6.800000e+02	2.110271e+00	6.477834e-03
6.810000e+02	2.110080e+00	6.487944e-03
6.820000e+02	2.109890e+00	6.498057e-03
6.830000e+02	2.109699e+00	6.508175e-03
6.840000e+02	2.109509e+00	6.518292e-03
6.850000e+02	2.109318e+00	6.528410e-03
6.860000e+02	2.109128e+00	6.538532e-03
6.870000e+02	2.108937e+00	6.548657e-03
6.880000e+02	2.108746e+00	6.558781e-03
6.890000e+02	2.108556e+00	6.568906e-03
6.900000e+02	2.108365e+00	6.579037e-03
6.910000e+02	2.108174e+00	6.589168e-03
6.920000e+02	2.107984e+00	6.599300e-03
6.930000e+02	2.107793e+00	6.609432e-03
6.940000e+02	2.107602e+00	6.619571e-03
6.950000e+02	2.107411e+00	6.629710e-03
6.960000e+02	2.107221e+00	6.639850e-03
6.970000e+02	2.107030e+00	6.649989e-03
6.980000e+02	2.106839e+00	6.660136e-03
6.990000e+02	2.106648e+00	6.670282e-03
7.000000e+02	2.106457e+00	6.680429e-03
7.010000e+02	2.106267e+00	6.690577e-03
7.020000e+02	2.106076e+00	6.700731e-03
7.030000e+02	2.105885e+00	6.710885e-03
7.040000e+02	2.105694e+00	6.721039e-03
7.050000e+02	2.105503e+00	6.731194e-03
7.060000e+02	2.105312e+00	6.741356e-03
7.070000e+02	2.105121e+00	6.751518e-03
7.080000e+02	2.104930e+00	6.761679e-03
7.090000e+02	2.104739e+00	6.771842e-03
7.100000e+02	2.104548e+00	6.782011e-03
7.110000e+02	2.104357e+00	6.792181e-03
7.120000e+02	2.104166e+00	6.802350e-03
7.130000e+02	2.103975e+00	6.812520e-03
7.140000e+02	2.103784e+00	6.822697e-03
7.150000e+02	2.103593e+00	6.832874e-03
7.160000e+02	2.103402e+00	6.843052e-03
7.170000e+02	2.103211e+00	6.853229e-03
7.180000e+02	2.103020e+00	6.863413e-03
7.190000e+02	2.102828e+00	6.873598e-03
7.200000e+02	2.102637e+00	6.883784e-03
7.210000e+02	2.102446e+00	6.893969e-03
7.220000e+02	2.102255e+00	6.904160e-03
7.230000e+02	2.102064e+00	6.914353e-03
7.240000e+02	2.101872e+00	6.924546e-03
7.250000e+02	2.101681e+00	6.934739e-03
7.260000e+02	2.101490e+00	6.944937e-03
7.270000e+02	2.101299e+00	6.955138e-03
7.280000e+02	2.101107e+00	6.965339e-03
7.290000e+02	2.100916e+00	6.975540e-03
7.300000e+02	2.100725e+00	6.985744e-03
7.310000e+02	2.100533e+00	6.995953e-03
7.320000e+02	2.100342e+00	7.006163e-03
7.330000e+02	2.100150e+00	7.016372e-03
7.340000e+02	2.099959e+00	7.026582e-03
7.350000e+02	2.099768e+00	7.036799e-03
7.360000e+02	2.099576e+00	7.047017e-03
7.370000e+02	2.099385e+00	7.057235e-03
7.380000e+02	2.099193e+00	7.067453e-03
7.390000e+02	2.099002e+00	7.077675e-03
7.400000e+02	2.098810e+00	7.087902e-03
7.410000e+02	2.098619e+00	7.098128e-03
7.420000e+02	2.098427e+00	7.108354e-03
7.430000e+02	2.098236e+00	7.118582e-03
7.440000e+02	2.098044e+00	7.128817e-03
7.450000e+02	2.097852e+00	7.139051e-03
7.460000e+02	2.097661e+00	7.149286e-03
7.470000e+02	2.097469e+00	7.159521e-03
7.480000e+02	2.097277e+00	7.169762e-03
7.490000e+02	2.097086e+00	7.180006e-03
7.500000e+02	2.096894e+00	7.190249e-03
7.510000e+02	2.096702e+00	7.200492e-03
7.520000e+02	2.096511e+00	7.210738e-03
7.530000e+02	2.096319e+00	7.220990e-03
7.540000e+02	2.096127e+00	7.231242e-03
7.550000e+02	2.095935e+00	7.241494e-03
7.560000e+02	2.095743e+00	7.251747e-03
7.570000e+02	2.095552e+00	7.262004e-03
7.580000e+02	2.095360e+00	7.272266e-03
7.590000e+02	2.095168e+00	7.282527e-03
7.600000e+02	2.094976e+00	7.292788e-03
7.610000e+02	2.094784e+00	7.303049e-03
7.620000e+02	2.094592e+00	7.313319e-03
7.630000e+02	2.094400e+00	7.323590e-03
7.640000e+02	2.094208e+00	7.333860e-03
7.650000e+02	2.094016e+00	7.344130e-03
7.660000e+02	2.093824e+00	7.354403e-03
7.670000e+02	2.093632e+00	7.364682e-03
7.680000e+02	2.093440e+00	7.374962e-03
7.690000e+02	2.093248e+00	7.385241e-03
7.700000e+02	2.093056e+00	7.395521e-03
7.710000e+02	2.092864e+00	7.405805e-03
7.720000e+02	2.092672e+00	7.416094e-03
7.730000e+02	2.092480e+00	7.426383e-03
7.740000e+02	2.092288e+00	7.436672e-03
7.750000e+02	2.092096e+00	7.446960e-03
7.760000e+02	2.091904e+00	7.457256e-03
7.770000e+02	2.091712e+00	7.467554e-03
7.780000e+02	2.091519e+00	7.477852e-03
7.790000e+02	2.091327e+00	7.488151e-03
7.800000e+02	2.091135e+00	7.498449e-03
7.810000e+02	2.090943e+00	7.508755e-03
7.820000e+02	2.090750e+00	7.519063e-03
7.830000e+02	2.090558e+00	7.529371e-03
7.840000e+02	2.090366e+00	7.539679e-03
7.850000e+02	2.090174e+00	7.549987e-03
7.860000e+02	2.089981e+00	7.560303e-03
7.870000e+02	2.089789e+00	7.570621e-03
